x,y,z,yaw,velocity,change_flag
-80.5916,-33.9954,10.8866,-0.6922,0.0000,0
-79.6464,-34.7768,10.8862,-0.6711,0.0000,0
-78.5002,-35.6576,10.8901,-0.6193,0.0000,0
-77.4774,-36.2889,10.8870,-0.5366,0.0000,0
-76.2351,-36.9520,10.8858,-0.4478,0.0000,0
-75.0902,-37.4136,10.8758,-0.3299,0.0000,0
-73.8519,-37.7786,10.8814,-0.2412,0.0000,0
-72.4687,-38.1149,10.9007,-0.2359,0.0000,0
-71.2698,-38.3915,10.8999,-0.2208,0.0000,0
-70.0747,-38.6586,10.8973,-0.2085,0.0000,0
-69.0209,-38.8614,10.9041,-0.2074,0.0000,0
-68.0108,-39.0700,10.9056,-0.1898,0.0000,0
-67.0137,-39.2500,10.9066,-0.1825,0.0000,0
-65.9972,-39.4362,10.9028,-0.1610,0.0000,0
-64.6613,-39.5915,10.9036,-0.0948,0.0000,0
-63.6614,-39.6679,10.8865,-0.0616,0.0000,0
-62.3326,-39.7695,10.9011,-0.0591,0.0000,0
-61.2151,-39.7992,10.9099,-0.0543,0.0000,0
-60.0814,-39.8514,10.9169,-0.0254,0.0000,0
-58.9326,-39.8602,10.8965,-0.0075,0.0000,0
-57.4397,-39.8523,10.9068,-0.0068,0.0000,0
-56.1918,-39.8772,10.9046,-0.0072,0.0000,0
-54.8604,-39.8723,10.9011,-0.0075,0.0000,0
-53.6162,-39.8768,10.8919,-0.0072,0.0000,0
-52.4307,-39.8953,10.9006,-0.0135,0.0000,0
-51.3795,-39.8980,10.9112,-0.0140,0.0000,0
-50.2894,-39.9227,10.9014,-0.0142,0.0000,0
-49.1851,-39.9430,10.9138,-0.0100,0.0000,0
-47.7957,-39.9453,10.8932,-0.0090,0.0000,0
-46.6255,-39.9330,10.8987,0.0028,0.0000,0
-45.1981,-39.9312,10.8933,0.0036,0.0000,0
-43.7055,-39.9195,10.9049,0.0036,0.0000,0
-42.1243,-39.9014,10.9025,0.0034,0.0000,0
-40.5345,-39.9098,10.8927,0.0040,0.0000,0
-39.1466,-39.8936,10.9157,0.0030,0.0000,0
-37.5232,-39.8766,10.9083,0.0019,0.0000,0
-35.8038,-39.8637,10.9041,-0.0027,0.0000,0
-34.4955,-39.8692,10.9139,-0.0025,0.0000,0
-32.7653,-39.8510,10.9042,-0.0025,0.0000,0
-31.1111,-39.8579,10.9120,-0.0024,0.0000,0
-29.5900,-39.8797,10.9073,-0.0024,0.0000,0
-27.7489,-39.8613,10.9162,-0.0029,0.0000,0
-25.9081,-39.8684,10.9123,-0.0023,0.0000,0
-24.4792,-39.8601,10.9049,-0.0023,0.0000,0
-22.7489,-39.8639,10.9130,-0.0028,0.0000,0
-21.1607,-39.8341,10.9011,-0.0025,0.0000,0
-19.7437,-39.8394,10.9050,-0.0025,0.0000,0
-17.9864,-39.8436,10.9120,-0.0024,0.0000,0
-16.3752,-39.8426,10.9125,0.0020,0.0000,0
-14.7907,-39.8200,10.9049,0.0031,0.0000,0
-13.1874,-39.8195,10.9073,0.0035,0.0000,0
-11.6478,-39.8013,10.9039,0.0035,0.0000,0
-10.1328,-39.7900,10.9038,0.0032,0.0000,0
-9.0978,-39.7766,10.9210,0.0013,0.0000,0
-7.4720,-39.7798,10.9172,-0.0031,0.0000,0
-5.8953,-39.7876,10.8989,-0.0038,0.0000,0
-4.0767,-39.7873,10.9119,-0.0029,0.0000,0
-2.5058,-39.7763,10.9134,-0.0031,0.0000,0
-0.8734,-39.7861,10.8930,-0.0035,0.0000,0
1.0132,-39.7994,10.9211,-0.0031,0.0000,0
2.6346,-39.7880,10.9082,-0.0027,0.0000,0
4.1975,-39.7806,10.9022,-0.0033,0.0000,0
5.9681,-39.7714,10.9181,-0.0028,0.0000,0
7.7216,-39.8010,10.9048,-0.0024,0.0000,0
9.2938,-39.7886,10.9184,-0.0036,0.0000,0
10.9284,-39.7773,10.9173,-0.0030,0.0000,0
12.4652,-39.7661,10.9106,-0.0028,0.0000,0
14.1060,-39.7845,10.9186,-0.0028,0.0000,0
15.6425,-39.7676,10.9122,-0.0032,0.0000,0
17.0140,-39.7773,10.9190,-0.0025,0.0000,0
18.3555,-39.7538,10.9134,-0.0027,0.0000,0
19.4447,-39.7615,10.9076,-0.0029,0.0000,0
20.6727,-39.7707,10.9220,-0.0025,0.0000,0
22.1765,-39.7617,10.9167,-0.0025,0.0000,0
23.2260,-39.7652,10.9262,-0.0031,0.0000,0
24.2927,-39.7482,10.9203,-0.0031,0.0000,0
25.8249,-39.7701,10.9141,-0.0030,0.0000,0
26.9327,-39.7453,10.9301,-0.0032,0.0000,0
28.0253,-39.7592,10.9129,-0.0027,0.0000,0
29.5386,-39.7680,10.9272,-0.0028,0.0000,0
30.6153,-39.7463,10.9130,-0.0028,0.0000,0
32.0082,-39.7643,10.9120,-0.0033,0.0000,0
33.1334,-39.7595,10.9177,-0.0033,0.0000,0
34.4491,-39.7457,10.9158,0.0010,0.0000,0
36.0529,-39.7594,10.9152,0.0011,0.0000,0
37.2617,-39.7564,10.9220,0.0074,0.0000,0
38.3862,-39.7318,10.9176,0.0102,0.0000,0
39.4266,-39.7229,10.9075,0.0135,0.0000,0
40.8485,-39.7077,10.9083,0.0141,0.0000,0
42.3007,-39.6716,10.9235,0.0141,0.0000,0
43.3029,-39.6480,10.9253,0.0142,0.0000,0
44.3958,-39.6322,10.9140,0.0169,0.0000,0
45.4987,-39.6175,10.9261,0.0181,0.0000,0
46.6302,-39.5799,10.9199,0.0369,0.0000,0
47.7356,-39.5372,10.9117,0.0424,0.0000,0
48.7357,-39.4894,10.9044,0.0507,0.0000,0
50.1437,-39.3987,10.9111,0.0651,0.0000,0
51.5174,-39.2792,10.8969,0.1208,0.0000,0
52.9297,-39.0862,10.9063,0.1401,0.0000,0
54.2268,-38.8590,10.9007,0.1935,0.0000,0
55.6476,-38.5035,10.8836,0.3008,0.0000,0
56.8934,-38.0077,10.8747,0.4492,0.0000,0
57.9429,-37.3709,10.8857,0.6321,0.0000,0
58.9126,-36.4922,10.8900,0.8157,0.0000,0
59.8119,-35.5121,10.8864,0.8419,0.0000,0
60.6719,-34.4674,10.9005,0.8916,0.0000,0
61.4948,-33.3659,10.8726,0.9894,0.0000,0
62.1170,-32.2613,10.8790,1.1204,0.0000,0
62.6446,-31.0317,10.8736,1.2147,0.0000,0
63.0023,-29.6955,10.8713,1.3520,0.0000,0
63.2183,-28.4364,10.8738,1.4803,0.0000,0
63.3041,-27.3333,10.8924,1.4897,0.0000,0
63.3872,-26.2079,10.8944,1.5039,0.0000,0
63.4310,-25.1714,10.8957,1.5244,0.0000,0
63.4513,-24.1132,10.9078,1.5520,0.0000,0
63.4728,-22.9124,10.9119,1.5519,0.0000,0
63.4888,-21.9072,10.9046,1.5499,0.0000,0
