x,y,z,yaw,velocity,change_flag
6846.4707,-8306.2441,-61.7506,-2.1864,14.4910,0
6845.7471,-8307.1982,-61.7406,-2.2449,14.2985,0
6844.9839,-8308.1113,-61.7445,-2.2974,13.9765,0
6844.1489,-8308.9941,-61.7418,-2.3484,14.3376,0
6843.2534,-8309.8486,-61.7359,-2.4007,14.5895,0
6842.3296,-8310.6377,-61.7427,-2.4517,14.9491,0
6841.3726,-8311.3770,-61.7641,-2.5008,14.6874,0
6840.4014,-8312.0820,-61.7603,-2.5463,13.9297,0
6839.3584,-8312.7441,-61.7767,-2.5886,14.8909,0
6838.3110,-8313.3672,-61.7885,-2.6177,14.4515,0
6837.2344,-8313.9863,-61.7968,-2.6387,15.1049,0
6836.1699,-8314.5684,-61.7983,-2.6525,15.3676,0
6835.1436,-8315.1055,-61.8245,-2.6634,13.5203,0
6834.1094,-8315.6348,-61.8224,-2.6725,13.2487,0
6833.1318,-8316.1162,-61.8296,-2.6796,13.3221,0
6832.1978,-8316.5781,-61.8319,-2.6849,12.0498,0
6831.1274,-8317.1084,-61.7958,-2.6870,9.8462,0
6830.0781,-8317.5977,-61.8291,-2.6876,6.9226,0
6829.1792,-8318.0430,-61.8159,-2.6872,3.5639,0
6828.2354,-8318.4980,-61.8162,-2.6870,1.7364,0
6827.2466,-8318.9756,-61.8145,-2.6856,4.3900,0
6826.2217,-8319.4658,-61.8143,-2.6828,6.2257,0
6825.1919,-8319.9775,-61.8225,-2.6794,7.5781,0
6824.1792,-8320.4834,-61.8201,-2.6774,8.5285,0
6823.0957,-8321.0195,-61.8157,-2.6764,9.1355,0
6822.1885,-8321.4590,-61.8211,-2.6753,9.2822,0
6821.0771,-8322.0078,-61.8318,-2.6749,8.7864,0
6820.1685,-8322.4736,-61.8160,-2.6753,8.8761,0
6819.2441,-8322.9404,-61.8123,-2.6761,9.2526,0
6818.2998,-8323.3867,-61.7862,-2.6812,9.2308,0
6817.3613,-8323.8496,-61.7899,-2.6869,9.4940,0
6816.3789,-8324.3281,-61.7972,-2.6923,9.9656,0
6815.3970,-8324.7852,-61.7851,-2.6970,10.1476,0
6814.3716,-8325.2686,-61.7866,-2.7024,10.2020,0
6813.3354,-8325.7412,-61.7801,-2.7075,10.5632,0
6812.2930,-8326.2158,-61.7846,-2.7130,10.6023,0
6811.2437,-8326.6787,-61.7930,-2.7226,10.2682,0
6810.2153,-8327.1221,-61.8063,-2.7341,9.6854,0
6809.1812,-8327.5615,-61.7953,-2.7469,10.2867,0
6808.1392,-8327.9727,-61.7840,-2.7649,9.7403,0
6807.1445,-8328.3506,-61.7924,-2.7953,9.7883,0
6806.1484,-8328.6855,-61.7871,-2.8330,9.5093,0
6805.1841,-8328.9561,-61.7721,-2.8783,9.0278,0
6804.0566,-8329.2217,-61.7767,-2.9423,8.0713,0
6802.9722,-8329.4033,-61.7925,-3.0221,7.8316,0
6801.9233,-8329.4629,-61.7889,-3.1119,7.6151,0
6800.7524,-8329.4395,-61.7697,3.0475,7.1580,0
6799.6631,-8329.2471,-61.7684,2.9119,6.5868,0
6798.6680,-8328.8926,-61.7676,2.7772,6.0081,0
6797.7437,-8328.3887,-61.8008,2.6449,6.7739,0
6796.7617,-8327.8379,-61.7880,2.5252,6.6150,0
6795.8281,-8327.1348,-61.7807,2.4211,7.2685,0
6794.9419,-8326.2988,-61.7887,2.3205,7.8943,0
6794.2749,-8325.5527,-61.7853,2.2392,7.7945,0
6793.6621,-8324.7383,-61.7703,2.1614,7.8981,0
6793.0264,-8323.7412,-61.7865,2.0867,6.8097,0
6792.5078,-8322.7656,-61.7843,2.0449,5.7954,0
6792.0620,-8321.8633,-61.7696,2.0314,4.2175,0
6791.6333,-8320.9580,-61.7806,2.0294,2.2195,0
6791.1719,-8320.0264,-61.7917,2.0300,1.5806,0
6790.7192,-8319.0684,-61.7922,2.0315,3.3277,0
6790.2402,-8318.1074,-61.7847,2.0312,5.5054,0
6789.7808,-8317.1562,-61.7965,2.0270,7.4097,0
6789.2896,-8316.1592,-61.7922,2.0212,8.3062,0
6788.8477,-8315.2412,-61.7925,2.0171,9.2373,0
6788.3833,-8314.2842,-61.7789,2.0144,9.3528,0
6787.9028,-8313.2588,-61.7931,2.0115,10.2542,0
6787.3994,-8312.1650,-61.7975,2.0116,10.8662,0
6786.8535,-8310.9707,-61.7844,2.0125,11.8601,0
6786.4111,-8310.0625,-61.7894,2.0131,12.6676,0
6785.9746,-8309.1309,-61.7785,2.0140,12.7026,0
6785.5205,-8308.1572,-61.7888,2.0141,13.1380,0
6785.0527,-8307.1729,-61.7960,2.0151,13.7299,0
6784.5806,-8306.1592,-61.7909,2.0162,13.8716,0
6784.0830,-8305.1113,-61.7978,2.0162,14.2375,0
6783.5928,-8304.0400,-61.7797,2.0149,15.1976,0
6783.0874,-8302.9541,-61.7740,2.0156,14.5554,0
6782.5625,-8301.8076,-61.7851,2.0160,15.1953,0
6782.0430,-8300.7324,-61.7641,2.0156,14.4585,0
6781.4761,-8299.5459,-61.7967,2.0147,14.3217,0
6780.9014,-8298.3545,-61.7891,2.0146,17.3067,0
6780.3628,-8297.1895,-61.8035,2.0145,15.6826,0
6779.7910,-8295.9414,-61.8067,2.0135,16.9680,0
6779.1890,-8294.7080,-61.8099,2.0140,15.9640,0
6778.6274,-8293.4727,-61.7934,2.0134,15.8532,0
6778.0000,-8292.1758,-61.8298,2.0138,18.5683,0
6777.3804,-8290.8711,-61.8260,2.0144,17.3219,0
6776.7563,-8289.5322,-61.8295,2.0124,17.9200,0
6776.3228,-8288.6055,-61.8384,2.0130,20.6526,0
6775.7061,-8287.2539,-61.8395,2.0107,18.6882,0
6775.2656,-8286.2988,-61.8433,2.0103,18.7794,0
6774.8188,-8285.3564,-61.8391,2.0095,18.3306,0
6774.2065,-8284.0420,-61.8500,2.0098,17.9130,0
6773.5889,-8282.7119,-61.8404,2.0090,16.7756,0
6772.9824,-8281.4043,-61.8654,2.0087,17.3904,0
6772.4009,-8280.1357,-61.8578,2.0073,15.1767,0
